,MentalHealth,DevType,YearlySalary
17712,Anxiety,"Developer, back-end",30000
17717,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications;Developer, mobile;Developer, embedded applications or devices",40000
17720,Anxiety,"Developer, back-end",135000
17727,Depression,"Developer, full-stack;Developer, back-end",42000
17728,None of the above,"Developer, desktop or enterprise applications",60000
17737,None of the above,"Developer, full-stack;DevOps specialist",56400
17738,None of the above,"Developer, mobile",46000
17740,None of the above,"Developer, mobile",42000
17747,None of the above,"Developer, back-end",120000
17750,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;Database administrator;System administrator",35000
17755,"Or, in your own words:","Developer, full-stack;System administrator",102000
17757,Prefer not to say,"Developer, back-end",34000
17767,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, back-end",60000
17769,None of the above,"Developer, back-end",75000
17774,"Depression;Anxiety;I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test",1440000
17775,None of the above,"Developer, back-end",72000
17776,None of the above,"Developer, embedded applications or devices",46800
17781,None of the above,"Developer, back-end;DevOps specialist",51000
17785,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Database administrator;Developer, embedded applications or devices;Data or business analyst",24000
17787,None of the above,"Developer, front-end",810000
17799,"Or, in your own words:","Developer, back-end",570000
17808,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",70000
17813,None of the above,"Developer, mobile",63000
17815,"Depression;Or, in your own words:;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Engineer, site reliability;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",45504
17816,None of the above,"Data scientist or machine learning specialist;Developer, back-end;Project manager",384000
17817,None of the above,"Developer, full-stack;Designer",10800
17820,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",50000
17828,None of the above,"Developer, full-stack;DevOps specialist",58000
17829,None of the above,"Developer, QA or test",71000
17831,None of the above,"Developer, full-stack;Developer, mobile;Other",58000
17844,None of the above,"Developer, full-stack;Cloud infrastructure engineer",480000
17858,None of the above,"Data scientist or machine learning specialist;Developer, full-stack;Developer, back-end;Developer, QA or test;DevOps specialist;Developer, embedded applications or devices",768000
17868,None of the above,"Developer, embedded applications or devices",590000
17871,None of the above,"Developer, back-end;Cloud infrastructure engineer",144000
17879,None of the above,"Developer, full-stack",48000
17889,None of the above,"Developer, back-end",35000
17892,None of the above,"Developer, full-stack;Developer, back-end;Developer, embedded applications or devices;Developer, game or graphics",48000
17895,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end;Developer, desktop or enterprise applications",53000
17896,"Anxiety;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, game or graphics",348000
17899,Anxiety,"Engineer, data",50880
17903,None of the above,"Developer, full-stack;Developer, QA or test;Developer, mobile;Engineering manager;Database administrator;Project manager;Designer;Product manager;System administrator",36000
17910,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, back-end;Developer, desktop or enterprise applications",81818
17912,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist",600000
17918,None of the above,"Engineer, data;Developer, back-end",105000
17919,None of the above,"Engineer, data;Developer, full-stack;Developer, back-end;Data or business analyst;System administrator;Security professional",150000
17930,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",Data scientist or machine learning specialist;DevOps specialist,45000
17932,Anxiety,"Engineer, data",30000
17933,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",36000
17934,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile",700000
17936,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",57200
17937,None of the above,"Developer, full-stack;Cloud infrastructure engineer",90000
17938,None of the above,"Developer, back-end;Developer, game or graphics",61000
17942,None of the above,"Developer, front-end;Developer, back-end;Designer",360000
17944,None of the above,"Developer, mobile",68000
17945,None of the above,"Developer, mobile",18900
17947,None of the above,"Developer, desktop or enterprise applications;Developer, embedded applications or devices",14400
17950,None of the above,"Developer, front-end",70000
17955,None of the above,"Developer, full-stack;Project manager",36000
17957,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Senior Executive (C-Suite, VP, etc.)",155000
17961,None of the above,"Developer, full-stack;Developer, mobile;Educator",45000
17966,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Educator;DevOps specialist",100000
17969,None of the above,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer;Data or business analyst",39000
17971,None of the above,"Developer, desktop or enterprise applications;Developer, QA or test;Database administrator;System administrator",48000
17972,None of the above,"Developer, back-end",85000
17973,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",50000
17974,None of the above,"Developer, back-end;DevOps specialist",73153
17975,None of the above,"Developer, front-end",1200000
17978,None of the above,Cloud infrastructure engineer,100000
17985,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, QA or test;Engineering manager;DevOps specialist;Developer, game or graphics;System administrator",460800
17992,Anxiety,"Developer, full-stack",468000
17997,None of the above,"Engineer, data;Developer, full-stack;Developer, desktop or enterprise applications;Engineering manager;Database administrator;Project manager;Product manager",36000
17998,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end",55200
18009,None of the above,"Developer, back-end",56000
18016,None of the above,"Developer, back-end;Database administrator;DevOps specialist",600000
18022,None of the above,"Developer, back-end;Engineering manager;Project manager;Product manager",720000
18023,None of the above,"Developer, full-stack",33000
18026,None of the above,"Developer, back-end;Developer, desktop or enterprise applications;Academic researcher;Developer, embedded applications or devices;Blockchain;Security professional",1440000
18027,None of the above,"Developer, desktop or enterprise applications",50000
18028,None of the above,"Developer, front-end;Developer, full-stack;Engineering manager",100000
18029,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Engineer, data;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;DevOps specialist;Data or business analyst;System administrator",96000
18032,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Engineering manager,192000
18033,None of the above,"Developer, full-stack",244800
18036,None of the above,"Developer, desktop or enterprise applications;Developer, embedded applications or devices",48000
18041,None of the above,"Developer, desktop or enterprise applications;Developer, QA or test;Developer, embedded applications or devices",24000
18056,None of the above,"Developer, back-end",73000
18063,None of the above,"Developer, back-end;Developer, embedded applications or devices",34800
18066,None of the above,"Developer, full-stack",44400
18069,None of the above,"Developer, back-end",35000
18074,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, back-end;Database administrator",70000
18075,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",492000
18087,None of the above,"Developer, back-end;Engineering manager;DevOps specialist",96000
18094,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, game or graphics",720000
18095,Anxiety,"Developer, desktop or enterprise applications",36000
18101,None of the above,"Developer, full-stack;Project manager",50000
18102,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",73000
18107,None of the above,"Developer, full-stack",5000
18113,None of the above,Data scientist or machine learning specialist,45000
18119,None of the above,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Developer, embedded applications or devices;Project manager;Designer",1680000
18121,None of the above,Engineering manager,200000
18122,None of the above,"Developer, full-stack",52000
18123,None of the above,"Developer, full-stack",48000
18124,None of the above,"Engineer, data;Engineer, site reliability;Developer, back-end",60000
18126,None of the above,"Developer, front-end;Developer, full-stack",800
18136,None of the above,Data scientist or machine learning specialist;Other,38000
18138,None of the above,"Engineer, site reliability;Developer, back-end;Developer, QA or test;Database administrator;DevOps specialist;Cloud infrastructure engineer;System administrator;Security professional",1140000
18139,Depression;Anxiety,"Engineer, data",90000
18141,None of the above,"Developer, back-end;DevOps specialist;Data or business analyst;System administrator",24000
18142,Depression;Anxiety,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices",45000
18149,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",700000
18150,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",54000
18153,None of the above,Engineering manager;Academic researcher;Scientist,300000
18158,None of the above,"Developer, mobile",38000
18161,None of the above,Data scientist or machine learning specialist,82000
18162,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end",170000
18164,None of the above,"Data scientist or machine learning specialist;Engineer, data;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;Academic researcher;Scientist;System administrator",80000
18166,None of the above,"Developer, full-stack;Developer, back-end;Security professional",65000
18171,None of the above,"Developer, full-stack;Developer, back-end;Developer, mobile;Project manager",360000
18186,None of the above,"Developer, full-stack;Developer, back-end;Other",70000
18187,None of the above,"Developer, full-stack;Database administrator;Other",135000
18188,None of the above,"Developer, back-end",65000
18190,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Database administrator;System administrator",28000
18192,None of the above,"Developer, back-end;DevOps specialist",52000
18194,None of the above,"Developer, back-end",40000
18198,None of the above,"Developer, desktop or enterprise applications;Academic researcher",36000
18200,None of the above,"Developer, desktop or enterprise applications",58000
18201,Depression,"Developer, front-end;Developer, full-stack;Developer, back-end;Academic researcher;Scientist",542400
18204,None of the above,"Developer, full-stack;Developer, back-end",250000
18211,None of the above,"Developer, full-stack;Cloud infrastructure engineer",744000
18212,None of the above,"Developer, full-stack;Developer, back-end;Developer, QA or test",30000
18215,Prefer not to say,"Engineer, data;Developer, desktop or enterprise applications;Data or business analyst;Product manager",1400000
18216,None of the above,"Developer, desktop or enterprise applications;Designer",34000
18218,None of the above,"Developer, mobile",80000
18228,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, mobile;Engineering manager;Developer, game or graphics",450000
18232,None of the above,"Developer, front-end;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, mobile;Engineering manager;Project manager;Product manager;Senior Executive (C-Suite, VP, etc.);System administrator",72000
18237,None of the above,"Developer, front-end",324000
18239,Anxiety,"Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",2850
18243,None of the above,"Developer, back-end;Cloud infrastructure engineer",160000
18245,None of the above,"Engineer, site reliability;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer;System administrator",81000
18256,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Cloud infrastructure engineer",60000
18261,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, mobile;Designer",19000
18262,None of the above,"Developer, back-end;DevOps specialist;Cloud infrastructure engineer",82000
18263,Prefer not to say,"Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications",37500
18268,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;DevOps specialist;Developer, embedded applications or devices",120000
18269,None of the above,"Developer, front-end",48000
18272,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack",38400
18276,None of the above,"Developer, desktop or enterprise applications;Developer, mobile;Educator;Developer, embedded applications or devices;Project manager;System administrator",6000
18279,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",75000
18282,None of the above,"Developer, front-end",60000
18283,None of the above,"Developer, full-stack",57000
18285,None of the above,"Developer, front-end;Developer, full-stack",60000
18288,None of the above,"Developer, back-end",732000
18290,None of the above,"Developer, back-end",77000
18291,None of the above,"Engineer, data;Developer, full-stack;Developer, back-end",66000
18293,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",74000
18295,"Depression;Anxiety;I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Designer",36660
18301,None of the above,Designer,50000
18312,None of the above,"Developer, front-end;Developer, back-end;Developer, game or graphics",504000
18316,None of the above,"Developer, full-stack",48000
18326,None of the above,Other,145000
18333,None of the above,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist",39200
18341,Anxiety,"Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Data or business analyst;Designer",107000
18347,Depression,"Developer, front-end;Developer, full-stack",39500
18350,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end",30000
18356,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",36000
18359,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Engineer, data;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Educator;Engineering manager;Database administrator;DevOps specialist;Cloud infrastructure engineer;Designer;Scientist;System administrator;Security professional",66000
18362,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Developer, embedded applications or devices;Project manager;Designer;Product manager",36000
18371,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end;Engineer, site reliability;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer;System administrator;Security professional",63000
18380,None of the above,"Developer, full-stack",31000
18387,None of the above,"Developer, full-stack",28800
18390,None of the above,"Developer, back-end",169000
18392,None of the above,"Engineer, data;Developer, full-stack;Cloud infrastructure engineer;Data or business analyst",85000
18396,None of the above,"Engineer, site reliability;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",145
18400,None of the above,"Developer, back-end;Product manager",90000
18407,None of the above,"Developer, front-end",540000
18410,Depression,"Developer, full-stack",34800
18413,None of the above,"Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Developer, embedded applications or devices;Project manager;Cloud infrastructure engineer;Product manager;Senior Executive (C-Suite, VP, etc.);System administrator;Security professional",130000
18419,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, desktop or enterprise applications;Developer, embedded applications or devices",75000
18421,None of the above,DevOps specialist;Cloud infrastructure engineer,52500
18425,None of the above,"Engineer, site reliability;Developer, back-end;Cloud infrastructure engineer",924000
18427,None of the above,"Developer, full-stack",55000
18433,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",31000
18439,None of the above,"Developer, full-stack;Developer, mobile;Developer, game or graphics;Cloud infrastructure engineer",48000
18441,None of the above,"Developer, back-end;Developer, desktop or enterprise applications",468000
18448,None of the above,"Developer, full-stack",780000
18449,None of the above,"Developer, full-stack",100000
18455,None of the above,"Other;Developer, embedded applications or devices",110000
18457,None of the above,"Developer, full-stack;DevOps specialist;Designer",57000
18460,None of the above,"Developer, back-end;Developer, embedded applications or devices;Developer, game or graphics",82000
18464,None of the above,"Developer, full-stack",72000
18465,None of the above,"Developer, full-stack",5400
18470,Depression;Anxiety,"Developer, back-end;DevOps specialist",140000
18471,None of the above,"Developer, full-stack;Developer, back-end",90000
18489,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",Cloud infrastructure engineer,90000
18491,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile;Developer, embedded applications or devices",36000
18494,None of the above,"Developer, front-end;Developer, full-stack",100000
18496,Prefer not to say,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;System administrator",38400
18497,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, game or graphics",140000
18498,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator",660000
18499,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Data scientist or machine learning specialist;Engineer, data;Developer, back-end;Other;Cloud infrastructure engineer",420000
18508,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Database administrator;Data or business analyst",35000
18511,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications",41000
18512,None of the above,"Developer, full-stack;Developer, back-end;Other",100000
18523,Anxiety,"Developer, front-end;Developer, full-stack",580000
18528,None of the above,"Developer, full-stack;Developer, back-end",92000
18529,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",1800000
18543,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, mobile",38000
18547,Depression;Anxiety,"Developer, full-stack",50000
18550,None of the above,"Developer, full-stack",70000
18553,Anxiety,"Developer, full-stack",50000
18556,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack;Student;Database administrator;DevOps specialist",260
18558,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",19000
18559,None of the above,"Developer, front-end;Developer, full-stack",47500
18561,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack",94800
18562,None of the above,"Developer, full-stack;Security professional",80000
18567,None of the above,"Developer, front-end;Developer, full-stack",96000
18569,None of the above,"Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end",120000
18574,Depression,"Developer, back-end;Blockchain",250000
18577,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;Designer",960000
18579,None of the above,"Developer, mobile",54000
18580,None of the above,"Developer, back-end",70000
18581,None of the above,"Developer, full-stack;Designer",65000
18584,Prefer not to say,"Developer, back-end",117000
18586,None of the above,Data scientist or machine learning specialist;Data or business analyst,200000
18591,None of the above,"Developer, full-stack",100000
18592,None of the above,"Developer, full-stack;Developer, back-end",561312
18598,None of the above,"Engineer, data;Developer, full-stack;DevOps specialist;Cloud infrastructure engineer",1065000
18602,None of the above,"Developer, full-stack",33600
18604,None of the above,"Developer, full-stack;DevOps specialist",42000
18606,None of the above,"Developer, back-end;Database administrator;DevOps specialist;Designer",130000
18607,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end;Developer, desktop or enterprise applications",42000
18621,None of the above,"Developer, front-end",110000
18622,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;System administrator",3500
18632,None of the above,"Developer, full-stack;Developer, mobile;Data or business analyst",93000
18634,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack",115000
18639,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Other;Developer, embedded applications or devices",1020000
18641,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, embedded applications or devices",44400
18644,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",74200
18648,None of the above,"Data scientist or machine learning specialist;Developer, full-stack;Academic researcher",50000
18651,None of the above,"Developer, full-stack;Developer, back-end",77000
18657,Depression,Data or business analyst,4260
18660,Depression,"Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Database administrator;Developer, embedded applications or devices;Project manager;Designer;Product manager",80000
18666,None of the above,"Developer, front-end;Developer, back-end",35000
18675,Depression,"Developer, front-end;Developer, full-stack;Developer, back-end",50000
18680,None of the above,"Data scientist or machine learning specialist;Developer, full-stack;Developer, back-end",120000
18684,None of the above,"Developer, full-stack;Designer;Senior Executive (C-Suite, VP, etc.);Marketing or sales professional",60000
18690,"Or, in your own words:","Developer, front-end;Developer, full-stack;Designer",50000
18691,None of the above,"Developer, full-stack;Cloud infrastructure engineer",600000
18698,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Database administrator;Designer",65000
18701,None of the above,"Developer, full-stack",12000
18714,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Project manager",72000
18718,None of the above,"Developer, full-stack",60000
18720,None of the above,"Developer, back-end;Developer, mobile",42000
18723,None of the above,"Developer, full-stack",80000
18724,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Designer",816000
18730,None of the above,"Developer, full-stack",750000
18733,None of the above,"Developer, full-stack;Developer, back-end",120000
18741,None of the above,"Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications;Developer, mobile;Developer, game or graphics",90000
18743,None of the above,"Developer, full-stack;Developer, mobile",78000
18744,None of the above,"Developer, back-end;Developer, QA or test",45000
18745,Depression,"Developer, full-stack",49000
18747,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",672000
18750,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;System administrator;Security professional",49200
18752,None of the above,"Developer, embedded applications or devices",720000
18755,None of the above,"Developer, full-stack;Senior Executive (C-Suite, VP, etc.)",60000
18758,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack",60000
18761,None of the above,"Developer, front-end",18474
18762,Prefer not to say,"Developer, full-stack;Developer, back-end",64000
18764,None of the above,"Engineer, data",197000
18768,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",60000
18769,None of the above,"Developer, front-end;Designer",64800
18772,None of the above,"Developer, full-stack;Engineering manager",120000
18777,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)","Developer, full-stack;Developer, back-end;Other",68000
18780,None of the above,"Developer, back-end;Engineering manager",170000
18782,Depression,"Developer, full-stack",100000
18783,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications",175000
18785,None of the above,"Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices",76000
18814,None of the above,"Developer, back-end",60500
18823,None of the above,Data scientist or machine learning specialist;Academic researcher;Other,620000
18825,None of the above,"Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Project manager;Data or business analyst;System administrator",84000
18827,None of the above,"Developer, back-end;DevOps specialist;Cloud infrastructure engineer",99000
18839,None of the above,"Engineer, site reliability;Developer, back-end;DevOps specialist",170000
18846,None of the above,"Developer, back-end;Developer, mobile",110000
18850,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, game or graphics",140000
18852,"Depression;I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test",57000
18855,None of the above,"Developer, full-stack",42000
18859,None of the above,"Developer, full-stack;Product manager;Senior Executive (C-Suite, VP, etc.)",720000
18860,"Depression;Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Engineer, data;Developer, full-stack;Developer, back-end;DevOps specialist;Other",80000
18861,None of the above,"Developer, embedded applications or devices",492000
18864,"Anxiety;I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Engineering manager;Academic researcher;Developer, embedded applications or devices;Developer, game or graphics;Project manager;Data or business analyst;Designer;Product manager;System administrator",60000
18870,None of the above,"Developer, full-stack",105000
18872,None of the above,"Developer, full-stack;System administrator",31800
18878,None of the above,"Developer, front-end;Developer, full-stack",250000
18879,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end;Other",564000
18893,None of the above,"Engineer, site reliability;Developer, back-end;DevOps specialist",110000
18895,None of the above,"Developer, full-stack;Engineering manager",125000
18902,None of the above,"Developer, back-end",55000
18906,None of the above,"Developer, desktop or enterprise applications;Developer, embedded applications or devices",540000
18911,None of the above,"Developer, full-stack",150000
18916,Anxiety,"Developer, full-stack;DevOps specialist",46000
18919,Depression,"Data scientist or machine learning specialist;Developer, full-stack;Engineering manager;Other",78000
18922,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Engineer, data;Developer, back-end;Cloud infrastructure engineer",450000
18930,None of the above,"Developer, full-stack",51000
18933,None of the above,"Developer, desktop or enterprise applications;Developer, embedded applications or devices",44000
18935,None of the above,"Developer, full-stack",120000
18936,Anxiety,"Developer, front-end;Developer, full-stack",51600
18939,None of the above,"Developer, back-end",110000
18940,None of the above,"Developer, full-stack",45000
18941,None of the above,Educator;Academic researcher;Scientist,48000
18944,None of the above,"Developer, back-end;Developer, embedded applications or devices",120000
18956,Depression,"Developer, front-end;Developer, back-end",56000
18957,None of the above,"Developer, full-stack;Developer, desktop or enterprise applications",22000
18962,None of the above,"Developer, back-end",35000
18963,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end",22500
18968,Anxiety,"Data scientist or machine learning specialist;Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Engineering manager;Academic researcher;Project manager;Designer;Blockchain;Security professional",250000
18969,None of the above,"Data scientist or machine learning specialist;Developer, full-stack;Academic researcher;Cloud infrastructure engineer;Scientist",65000
18973,None of the above,"Developer, full-stack;Senior Executive (C-Suite, VP, etc.)",80000
18978,Anxiety,"Developer, front-end;Developer, full-stack;Developer, back-end;Project manager;Scientist",53000
18980,None of the above,"Developer, full-stack;Database administrator;Data or business analyst;System administrator",72000
18984,Anxiety,"Developer, full-stack",684000
18988,None of the above,"Developer, full-stack",115000
18989,None of the above,"Developer, front-end;Developer, full-stack",408000
18991,"Depression;I have a concentration and/or memory disorder (e.g., ADHD, etc.)","Developer, full-stack;Developer, back-end",35000
18994,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;DevOps specialist;Project manager;Cloud infrastructure engineer",120000
18997,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, back-end",63000
19001,"I have a concentration and/or memory disorder (e.g., ADHD, etc.);I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end",34000
19005,None of the above,"Developer, desktop or enterprise applications",73000
19006,None of the above,"Developer, full-stack;Educator;Engineering manager;DevOps specialist;Cloud infrastructure engineer",90000
19017,None of the above,"Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",58000
19018,Prefer not to say,"Developer, front-end;Developer, full-stack;Developer, back-end;Project manager;System administrator",60000
19021,None of the above,"Developer, front-end",18000
19022,None of the above,"Academic researcher;Developer, embedded applications or devices;Project manager;System administrator",132000
19023,None of the above,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",41000
19028,None of the above,"Developer, full-stack",45000
